State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
NJ,Essex County,34,13,4/10/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-122.pdf,"N.J. Exec. Order No. 122 (Apr. 8, 2020)"
NJ,Essex County,34,13,4/11/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-122.pdf,"N.J. Exec. Order No. 122 (Apr. 8, 2020)"
NJ,Essex County,34,13,4/12/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-122.pdf,"N.J. Exec. Order No. 122 (Apr. 8, 2020)"
NJ,Essex County,34,13,4/13/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/14/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/15/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/16/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/17/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/18/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/19/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/20/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/21/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/22/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/23/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/24/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/25/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/26/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/27/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/28/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/29/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,4/30/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/1/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/2/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/3/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/4/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/5/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/6/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/7/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/8/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/9/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/10/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/11/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/12/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/13/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/14/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/15/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/16/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/17/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/18/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/19/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/20/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/21/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/22/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/23/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/24/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/25/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/26/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/27/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/28/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/29/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/30/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,5/31/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/1/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/2/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/3/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/4/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/5/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/6/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/7/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/8/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/9/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/10/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/11/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/12/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/13/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/14/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/15/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/16/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/17/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/18/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/19/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/20/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/21/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/22/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/23/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/24/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
NJ,Essex County,34,13,6/25/2020,1,Yes,Official,https://nj.gov/infobank/eo/056murphy/pdf/EO-125.pdf,"N.J. Exec. Order No.125 (Apr. 11, 2020)"
